id,name,host_since,host_location,host_is_superhost,host_identity_verified,property_type,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
213371,Rental unit in Amsterdam,2011-09-02,"Amsterdam, Netherlands",f,t,Entire rental unit,270.0,4.83,4.86,4.26,4.96,5.0,4.87,4.65
214531,Rental unit in Amsterdam,2011-09-04,"Amsterdam, Netherlands",f,t,Private room in rental unit,115.0,4.82,4.87,4.77,4.88,4.84,4.89,4.74
219276,Guest suite in Amsterdam,2011-09-09,"Amsterdam, Netherlands",f,f,Private room in guest suite,300.0,4.88,5.0,4.88,5.0,5.0,5.0,4.56
222516,Rental unit in Amsterdam,2011-09-14,"Amsterdam, Netherlands",f,t,Entire rental unit,119.0,4.71,4.82,4.78,4.87,4.88,4.55,4.54
245927,Guest suite in Amsterdam,2011-08-22,"Amsterdam, Netherlands",,t,Entire guest suite,487.0,4.85,4.9,4.89,4.88,4.89,4.98,4.66
247805,Rental unit in Amsterdam,2011-10-16,"Amsterdam, Netherlands",t,t,Private room in rental unit,132.0,4.88,4.92,4.88,4.95,4.95,4.87,4.74
252080,Home in Amsterdam,2011-10-22,"Amsterdam, Netherlands",f,t,Entire home,325.0,4.94,4.94,4.94,4.88,5.0,4.94,4.71
254800,Rental unit in Amsterdam,2011-10-26,"Amsterdam, Netherlands",f,t,Entire rental unit,296.0,4.94,4.94,4.87,4.98,4.94,5.0,4.67
255809,Loft in Amsterdam,2011-10-28,"Amsterdam, Netherlands",f,t,Private room in loft,184.0,4.87,4.9,4.95,4.9,4.89,4.79,4.67
256670,Condo in Amsterdam,2011-10-30,"Amsterdam, Netherlands",f,t,Entire condo,420.0,4.63,4.5,4.63,4.75,4.88,4.75,4.5
262394,Rental unit in Amsterdam,2011-11-06,"Amsterdam, Netherlands",f,t,Private room in rental unit,88.0,4.83,4.83,4.86,4.98,4.95,4.69,4.66
274688,Condo in Amsterdam,2011-11-23,"Amsterdam, Netherlands",f,t,Entire condo,146.0,4.85,4.88,4.9,4.88,4.82,4.55,4.67
274706,Rental unit in Amsterdam,2011-11-23,"Amsterdam, Netherlands",f,t,Entire rental unit,300.0,4.95,4.88,4.83,4.88,4.93,4.93,4.71
283170,Rental unit in Amsterdam,2011-11-28,"Amsterdam, Netherlands",f,t,Entire rental unit,1036.0,4.5,4.54,4.55,4.7,4.82,4.72,4.08
286500,Rental unit in Amsterdam,2011-12-10,"Amsterdam, Netherlands",t,t,Private room in rental unit,228.0,4.9,4.96,4.92,4.94,4.91,4.92,4.81
290701,Home in Amsterdam,2011-12-10,"Amsterdam, Netherlands",t,t,Private room in home,189.0,4.86,4.92,4.91,4.93,4.9,4.92,4.75
291752,Rental unit in Amsterdam,2011-12-16,"Amsterdam, Netherlands",t,t,Private room in rental unit,126.0,4.87,4.93,4.84,4.92,4.92,4.77,4.73
304082,Bed and breakfast in Amsterdam,2010-11-01,"Amsterdam, Netherlands",f,t,Private room in bed and breakfast,142.0,4.75,4.78,4.7,4.85,4.83,4.89,4.59
304143,Boat in Amsterdam,2012-01-04,"Amsterdam, Netherlands",f,t,Boat,88.0,4.55,4.85,4.06,4.91,4.86,4.85,4.44
306852,Rental unit in Amsterdam,2011-09-11,"Amsterdam, Netherlands",f,t,Entire rental unit,200.0,4.63,4.69,4.63,4.84,4.88,4.91,4.66
